"island","site","colony","coral_type","coral_cover","echantillons","morphotype_1","morphotype_2","morphotype_3","morphotype_4","morphotype_5","morphotype_6","morphotype_7","morphotype_8","morphotype_9","morphotype_10","morphotype_11","morphotype_12","morphotype_13","morphotype_14","morphotype_15","morphotype_16","morphotype_17","morphotype_18","morphotype_19","morphotype_20","morphotype_21","morphotype_22","morphotype_23","morphotype_24","morphotype_25","morphotype_26","morphotype_27","morphotype_28","morphotype_29","morphotype_30","morphotype_31","morphotype_32","morphotype_33","morphotype_34","morphotype_35","morphotype_36","morphotype_37","morphotype_38","morphotype_39","morphotype_40","morphotype_41","morphotype_42","morphotype_43","abondance","richesse","shannon","simpson","pielou"
"Moorea","PIH","C1","A","low","PIH.C1",3,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1.57409733684897,0.785714285714286,0.978041665781516
"Moorea","PIH","C10","D","low","PIH.C10",0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,7,1.3661588475692,0.61,0.702066767179582
"Moorea","PIH","C11","DA","low","PIH.C11",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,3,0.974314752869349,0.59375,0.886859507142915
"Moorea","PIH","C12","D","low","PIH.C12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,10,5,1.41848366194566,0.72,0.881353453268883
"Moorea","PIH","C14","A","low","PIH.C14",3,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,7,1.82007597536062,0.819444444444444,0.93533402672483
"Moorea","PIH","C15","D","low","PIH.C15",0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,10,1.92144225238766,0.802083333333333,0.834471767507717
"Moorea","PIH","C16","DA","low","PIH.C16",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,15,7,1.50659508813164,0.675555555555556,0.774236718413257
"Moorea","PIH","C17","A","low","PIH.C17",4,5,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,1.58216994292525,0.764444444444444,0.883025858156563
"Moorea","PIH","C21","DA","low","PIH.C21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
"Moorea","PIH","C22","D","low","PIH.C22",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,24,9,1.8502677786636,0.777777777777778,0.842093155951655
